Character,UrduEquivalent
A,ا
B,ب
C,س
D,ڈ
E,ای
F,ف
G,گ
H,ہ
I,آئی
J,ج
K,ک
L,ل
M,م
N,ن
O,آ
P,پ
Q,کیو
R,ر
S,س
T,ٹ
U,یو
V,وی
W,و
X,ایکس
Y,وائی
Z,ز
À,آ
Á,آ
Â,آ
Ã,آ
Ä,آ
Å,آ
Æ,ای
Ç,س
È,ای
É,ای
Ê,ای
Ë,ای
Ì,آئی
Í,آئی
Î,آئی
Ï,آئی
Ð,ڈ
Ñ,آئیں
Ò,آو
Ó,آو
Ô,آو
Õ,آو
Ö,آو
Ø,آ
Ù,یو
Ú,یو
Û,یو
Ü,یو
Ý,وائی
Þ,تھ
ß,س
à,آ
á,آ
â,آ
ã,آ
ä,آ
å,آ
æ,ای
ç,س
è,ای
é,ای
ê,ای
ë,ای
ì,آئی
í,آئی
î,آئی
ï,آئی
ð,ڈ
ñ,ن
ò,آ
ó,آ
ô,آ
õ,آ
ö,آ
ø,آ
ù,آئی
ú,آئی
û,آئی
ü,آئی
ý,وائی
þ,تھ
ÿ,وائی
Ā,آ
ā,آ
Ă,آ
ă,آ
Ą,آ
ą,آ
Ć,س
ć,س
Ĉ,س
ĉ,س
Ċ,س
ċ,س
Č,چ
č,چ
Ď,ڈ
ď,ڈ
Đ,ڈ
đ,ڈ
Ē,ای
ē,ای
Ĕ,ای
ĕ,ای
Ė,ای
ė,ای
Ę,ای
ę,ای
Ě,ای
ě,ای
Ĝ,گ
ĝ,گ
Ğ,گ
ğ,گ
Ġ,گ
ġ,گ
Ģ,گ
ģ,گ
Ĥ,ہ
ĥ,ہ
Ħ,ہ
ħ,ہ
Ĩ,آئی
ĩ,آئی
Ī,آئی
ī,آئی
Ĭ,آئی
ĭ,آئی
Į,آئی
į,آئی
İ,آئی
ı,آئی
Ĳ,آئی
ĳ,آئی
Ĵ,ج
ĵ,ج
Ķ,کے
ķ,کے
ĸ,ک
Ĺ,ل
ĺ,ل
Ļ,ل
ļ,ل
Ľ,ل
ľ,ل
Ŀ,ل
ŀ,ل
Ł,ل
ł,ل
Ń,ن
ń,ن
Ņ,ن
ņ,ن
Ň,ن
ň,ن
ŉ,ن
Ŋ,ن
ŋ,ن
Ō,آ
ō,آ
Ŏ,آ
ŏ,آ
Ő,آ
ő,آ
Œ,آئی
œ,آئی
Ŕ,ر
ŕ,ر
Ŗ,ر
